mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.743263292312622,0.8255816762746839,0.3539437294006348,0.12751228967899994,relu,0.01,"(64, 64)",0.001,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001}",0.0,0.0,,0.0,0.14285714285714285,,,19
3.663881301879883,1.3666928442871498,0.36684651374816896,0.09881799619815691,relu,0.01,"(64, 64)",0.01,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",,,,0.0,,,,19
3.533613348007202,0.7855973664602345,0.26012158393859863,0.03331078823336596,relu,0.01,"(64, 64)",0.1,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.1}",0.0,0.0,0.0,,0.0,,,19
3.9625816345214844,0.6976417966233194,0.3476707935333252,0.09693162455970365,relu,0.01,"(128, 128)",0.001,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.001}",,0.07142857142857142,0.0,,0.14285714285714285,,,19
3.4469431400299073,0.9684818661353022,0.33661785125732424,0.1315965283628396,relu,0.01,"(128, 128)",0.01,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.01}",0.0,,0.07142857142857142,0.0,0.0,,,19
3.63947434425354,0.9622479019579862,0.2643941879272461,0.03933723296451484,relu,0.01,"(128, 128)",0.1,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.1}",,,0.0,,,,,19
3.4737873554229735,0.6108305537755433,0.320674467086792,0.11493134829275307,relu,0.01,"(256, 256)",0.001,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.001}",0.0,,0.0,0.0,,,,19
4.134611463546753,0.5872665181723145,0.4271868705749512,0.12293314424535191,relu,0.01,"(256, 256)",0.01,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.01}",,0.14285714285714285,0.0,,,,,19
3.9505245685577393,0.8675428759582231,0.33872113227844236,0.12357557101042499,relu,0.01,"(256, 256)",0.1,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (256, 256), 'learning_rate_init': 0.1}",0.0,,0.14285714285714285,,,,,19
2.326163148880005,0.7336581198445817,0.23495182991027833,0.080279112684552,tanh,0.0001,"(64,)",0.001,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.0,,0.07142857142857142,0.0,,,,19
1.7873451709747314,0.17418806740429416,0.22258195877075196,0.03957194857624196,tanh,0.0001,"(64,)",0.01,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0,0.07142857142857142,0.06388765649999399,5
3.087081956863403,0.7252202192937921,0.2973921775817871,0.07346257942570684,tanh,0.0001,"(64,)",0.1,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.1}",0.0,0.07142857142857142,0.0,0.07142857142857142,,,,19
2.5541662693023683,0.9096420336657794,0.195458984375,0.008558245810638177,tanh,0.0001,"(128,)",0.001,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.05714285714285714,0.06998542122237653,8
2.5196901321411134,0.47334536640276653,0.2727342128753662,0.10600601928886397,tanh,0.0001,"(128,)",0.01,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.05714285714285714,0.06998542122237653,8
1.6821579933166504,0.03074880253279583,0.19643812179565429,0.012118454434132434,tanh,0.0001,"(128,)",0.1,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.1}",,0.0,,0.0,0.14285714285714285,,,19
2.0578284740447996,0.3582616109753474,0.2819056034088135,0.11042947995590591,tanh,0.0001,"(256,)",0.001,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.05714285714285714,0.05345224838248488,8
2.229472827911377,0.5456336092451317,0.21750521659851074,0.035843750078585215,tanh,0.0001,"(256,)",0.01,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",0.06666666666666667,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.0,0.11333333333333333,0.07342603911389098,2
2.5088648319244387,0.36714337660337737,0.2615154266357422,0.08063047405057579,tanh,0.0001,"(256,)",0.1,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (256,), 'learning_rate_init': 0.1}",0.06666666666666667,,0.0,0.14285714285714285,0.0,,,19
2.6491047382354735,0.10711618110885583,0.24749083518981935,0.02142406359355378,tanh,0.0001,"(64, 64)",0.001,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.001}",0.0,,,0.0,,,,19
3.498121738433838,0.7777275941881543,0.32958478927612306,0.11098216248064294,tanh,0.0001,"(64, 64)",0.01,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}",0.0,,0.0,0.0,,,,19
3.217681074142456,0.587309669503891,0.37074766159057615,0.11788309730586874,tanh,0.0001,"(64, 64)",0.1,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.1}",,,0.0,0.21428571428571427,,,,19
3.0123330116271974,0.5493687873988241,0.23439249992370606,0.010514223253962385,tanh,0.0001,"(128, 128)",0.001,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 128), 'learning_rate_init': 0.001}",,,,0.0,,,,19
